108 babel ['congratulations']
124 babel ['yay']
224 babel ['cool']
259 cbor ['thankyou']
94 cellar ['perfect']
148 detnet ['congratulations']
93 emailcore ['sorry']
420 gendispatch ['apologies']
556 gendispatch ['thanks']
614 gendispatch ['agreed']
137 idr ['great']
6 jose ['enjoy']
62 lisp ['agreed']
120 mpls ['thanx']
261 roll ['excellent']
2 sidrops ['perfect']
160 spring ['congratulations']
351 teas ['excellent']
16 6lo ['no', 'worries']
42 ace ['great', 'thanks']
99 babel ['perfect', 'thanks']
225 babel ['yeah', 'congrats']
282 babel ['right', 'thanks']
90 bess ['i', 'support']
260 bess ['appreciate', 'it']
759 bess ['ok', 'thanks']
1049 bess ['i', 'support']
1053 bess ['i', 'support']
34 cdni ['looks', 'good']
10 dance ['excellent', 'news']
623 dmarc ['i', 'agree']
25 ecrit ['great', 'thanks']
251 emailcore ['good', 'disambiguation']
299 gendispatch ['well', 'said']
441 idr ['no', 'objection']
77 lsr ['support', 'adoption']
329 lsr ['sounds', 'good']
78 masque ['i', 'support']
335 mpls ['i', 'agree']
627 netmod ['yes', 'fixed']
634 netmod ['thanks', 'accepted']
9 ntp ['i', 'agree']
376 ntp ['well', 'said']
517 ntp ['i', 'agree']
519 ntp ['i', 'agree']
16 nvo3 ['understood', 'agreed']
1119 teas ['support', 'as', 'coauthor']
1121 teas ['support', 'as', 'coauthor']
1122 teas ['support', 'as', 'coauthor']
1125 teas ['support', 'as', 'coauthor']
69 tls ['works', 'for', 'me']
238 tls ['fine', 'by', 'me']
381 tls ['that', 'sounds', 'cool']
1095 tsvwg ['i', 'would', 'participate']
1298 tsvwg ['i', 'am', 'satisfied']
80 uta ['works', 'for', 'me']
353 ace ['looks', 'good', 'to', 'me']
177 acme ['i', 'incroprorated', 'your', 'suggestions']
216 acme ['i', 'also', 'prefer', 'terminology']
195 alto ['thanks', 'for', 'the', 'notice']
183 anima ['this', 'update', 'is', 'complete']
263 anima ['removed', 'from', 'git', 'copy']
507 anima ['great', 'stuff', 'for', 'draftsomeoneanimarfcbis']
612 anima ['you', 'are', 'welcome', 'k']
40 asdf ['ocf', 'converters', 'are', 'available']
62 babel ['what', 'is', 'the', 'rationale']
233 babel ['thanks', 'for', 'your', 'review']
88 bess ['i', 'support', 'this', 'draft']
153 bess ['support', 'publication', 'of', 'document']
383 bess ['i', 'support', 'the', 'publication']
497 bess ['i', 'support', 'the', 'adoption']
504 bess ['i', 'support', 'the', 'adoption']
510 bess ['i', 'support', 'the', 'adoption']
517 bess ['i', 'support', 'wg', 'adoption']
518 bess ['i', 'support', 'wg', 'adoption']
520 bess ['i', 'support', 'wg', 'adoption']
557 bess ['adding', 'rtgdir', 'my', 'apologies']
689 bess ['i', 'support', 'wg', 'adoption']
973 bess ['thanks', 'for', 'your', 'review']
1144 bess ['i', 'support', 'the', 'adoption']
1194 bess ['support', 'for', 'wg', 'adoption']
1196 bess ['i', 'support', 'wg', 'adoption']
89 bier ['i', 'can', 'help', 'too']
105 bier ['i', 'support', 'its', 'adoption']
106 bier ['i', 'support', 'its', 'adoption']
122 bier ['i', 'support', 'its', 'adoption']
123 bier ['i', 'support', 'its', 'adoption']
213 bier ['i', 'support', 'its', 'adoption']
230 bier ['agreed', 'on', 'both', 'counts']
247 bier ['i', 'support', 'wg', 'adoption']
251 bier ['i', 'support', 'the', 'adoption']
269 bier ['i', 'support', 'the', 'adoption']
270 bier ['i', 'support', 'the', 'adoption']
276 bier ['i', 'support', 'the', 'adoption']
373 bier ['i', 'support', 'its', 'adoption']
458 cbor ['fixing', 'subject', 'line', 'sigh']
498 cbor ['it', 'is', 'been', 'done']
53 cdni ['i', 'support', 'these', 'changes']
202 core ['thanks', 'for', 'your', 'answer']
271 detnet ['that', 'is', 'perfect', 'thanks']
154 dmarc ['it', 'is', 'not', 'possible']
765 dmarc ['that', 'might', 'do', 'it']
1440 dmarc ['i', 'support', 'the', 'change']
129 dnssd ['i', 'agree', 'good', 'point']
61 dtn ['looks', 'good', 'to', 'me']
5 ecrit ['looks', 'useful', 'to', 'me']
293 emailcore ['let', 'me', 'add', 'emailcore']
462 emailcore ['seems', 'fine', 'to', 'me']
499 emailcore ['ticket', 'just', 'opened', 'thanks']
59 grow ['yes', 'it', 'is', 'clear']
854 idr ['no', 'it', 'does', 'not']
858 idr ['trimming', 'the', 'distribution', 'list']
949 idr ['yeah', 'i', 'am', 'good']
1185 idr ['happy', 'new', 'year', 'welcome']
1601 idr ['i', 'found', 'the', 'link']
2183 idr ['i', 'support', 'its', 'adoption']
84 kitten ['very', 'well', 'discuss', 'updated']
161 kitten ['looks', 'ready', 'to', 'me']
93 lake ['i', 'agree', 'with', 'this']
133 lisp ['your', 'comments', 'are', 'welcome']
1 lsr ['i', 'support', 'the', 'adoption']
279 lsr ['i', 'support', 'the', 'adoption']
281 lsr ['i', 'support', 'the', 'adoption']
700 lsr ['i', 'support', 'the', 'publication']
1237 lsr ['i', 'support', 'this', 'draft']
1279 lsr ['i', 'support', 'wg', 'adoption']
1449 lsr ['i', 'support', 'the', 'adoption']
1451 lsr ['i', 'support', 'the', 'adoption']
1452 lsr ['i', 'support', 'wg', 'adoption']
1576 lsr ['i', 'support', 'wg', 'adoption']
52 madinas ['i', 'agree', 'for', 'adoption']
41 mboned ['i', 'support', 'this', 'adoption']
